,name,rate,title,u_id,h_id
104,,"5,0",,-3291852820852344586,A CHANGER
105,,"5,0",,-3291852820852344586,A CHANGER
106,nadyatel,"5,0",Agréable séjour,361738560148871198,A CHANGER
107,natzen13,"5,0",Impec!,8033637862650606559,A CHANGER
108,,"5,0",,8033637862650606559,A CHANGER
109,,"4,0",,8033637862650606559,A CHANGER
110,khadrayb,"5,0",Accueil,2701124916086312971,A CHANGER
111,fredericroch,"5,0",Avis excellent,-176160825973777150,A CHANGER
112,berengeremasson,"5,0",Tres bon hotel pour une nuit avant de prendre le train,-6626438996100763503,A CHANGER
113,Christian B,"4,0",Beau concept,-6286304981891915403,A CHANGER
114,Bsevane,"5,0",Emplacement idéal à 200m Gare de Lyon ,-506632383021089806,A CHANGER
115,,"5,0",,-506632383021089806,A CHANGER
116,,"5,0",,-506632383021089806,A CHANGER
117,,"5,0",,-506632383021089806,A CHANGER
118,didiergr0sjean,"3,0",Nuit du 20201116 DG,-4371871448096169951,A CHANGER
119,M5030TBar,"5,0",Cosy room from the future,5880941652629472704,A CHANGER
120,aureliebar2020,"4,0",Très chouette,-7537727158828495767,A CHANGER
121,Thomas N,"5,0",Excellent,8619198991145306231,A CHANGER
122,fabienne d,"5,0",Très bien ,3798737390861739475,A CHANGER
123,,"5,0",,3798737390861739475,A CHANGER
124,Jcc,"5,0",Très très bonne adresse,8225730057596684957,A CHANGER
125,ijcg,"5,0",Un séjour Idéal,3771285506976178025,A CHANGER
126,,"5,0",,3771285506976178025,A CHANGER
127,,"5,0",,3771285506976178025,A CHANGER
128,,"5,0",,3771285506976178025,A CHANGER
129,,"5,0",,3771285506976178025,A CHANGER
130,,"5,0",,3771285506976178025,A CHANGER
131,Amin G,"5,0",Incontournable ,8584771326652518147,A CHANGER
132,,"5,0",,8584771326652518147,A CHANGER
133,,"5,0",,8584771326652518147,A CHANGER
134,,"5,0",,8584771326652518147,A CHANGER
135,emelineg359,"5,0",Toujours un plaisir de retrouver l'hôtel Darcet pour mes séjours parisiens,-4977243889395043709,A CHANGER
136,,"5,0",,-4977243889395043709,A CHANGER
137,,"5,0",,-4977243889395043709,A CHANGER
138,,"5,0",,-4977243889395043709,A CHANGER
139,kevinel0die,"5,0",Un véritable coup de coeur !,8949387074952578099,A CHANGER
140,Laeti T,"5,0",Tres bon séjour ,-8682993027273919696,A CHANGER
141,Ratafia R,"5,0",Une perle dans Paris,-5131258805944166903,A CHANGER
142,,"5,0",,-5131258805944166903,A CHANGER
143,argane,"5,0",A découvrir...,6938262300124853222,A CHANGER
144,,"5,0",,6938262300124853222,A CHANGER
145,,"5,0",,6938262300124853222,A CHANGER
146,HionaM,"5,0",Superbe expérience,6640394434326680991,A CHANGER
147,sandrah78078,"5,0",Séjour parfait ,-8295818425414593265,A CHANGER
148,,"5,0",,-8295818425414593265,A CHANGER
149,vincent l,"2,0",Avis mitigé,-8856301658953563124,A CHANGER
150,,"2,0",,-8856301658953563124,A CHANGER
151,,"5,0",,-8856301658953563124,A CHANGER
152,chabhas,"5,0",Très bon hôtel !,-2491889379353192175,A CHANGER
153,vdscarine,"5,0",Parfait,4594224138774730766,A CHANGER
154,,"5,0",,4594224138774730766,A CHANGER
155,,"4,0",,4594224138774730766,A CHANGER
156,stephanenjonk,"5,0",Séjour au top,2950284224544446952,A CHANGER
157,jerome75,"4,0",emplacement intéressant,7553716618252547139,A CHANGER
158,amelie h,"5,0",De passage,-2071927387041980394,A CHANGER
159,,"5,0",,-2071927387041980394,A CHANGER
160,,"5,0",,-2071927387041980394,A CHANGER
161,Bzh.Farinthesky,"5,0",Presque parfait ,-6756846593732568550,A CHANGER
162,,"5,0",,-6756846593732568550,A CHANGER
163,,"4,0",,-6756846593732568550,A CHANGER
164,,"5,0",,-6756846593732568550,A CHANGER
165,,"1,0",,-6756846593732568550,A CHANGER
166,,"5,0",,-6756846593732568550,A CHANGER
167,,"4,0",,-6756846593732568550,A CHANGER
168,,"5,0",,-6756846593732568550,A CHANGER
169,,"5,0",,-6756846593732568550,A CHANGER
170,Fbi1353,"3,0",décevant,-7572097790641326878,A CHANGER
171,,"3,0",,-7572097790641326878,A CHANGER
172,,"4,0",,-7572097790641326878,A CHANGER
173,lasourisverte,"4,0",Décoration originale,-5167234333109782972,A CHANGER
174,,"4,0",,-5167234333109782972,A CHANGER
175,Amaury G,"5,0",Agréable sejour,7201639815058885639,A CHANGER
176,,"5,0",,7201639815058885639,A CHANGER
177,Pomme21,"5,0",Super Hôtel ,6910186643770298466,A CHANGER
178,,"5,0",,6910186643770298466,A CHANGER
179,,"5,0",,6910186643770298466,A CHANGER
180,,"1,0",,6910186643770298466,A CHANGER
181,,"5,0",,6910186643770298466,A CHANGER
182,Marie Laure K,"5,0",Tres bien; tres bon rapport qualite prix,7191130640699006001,A CHANGER
183,,"5,0",,7191130640699006001,A CHANGER
184,Cindy H,"4,0",Petit séjour parisien ,8250823690593991054,A CHANGER
185,,"4,0",,8250823690593991054,A CHANGER
186,,"5,0",,8250823690593991054,A CHANGER
187,,"3,0",,8250823690593991054,A CHANGER
188,,"4,0",,8250823690593991054,A CHANGER
189,,"4,0",,8250823690593991054,A CHANGER
190,,"5,0",,8250823690593991054,A CHANGER
191,,"1,0",,8250823690593991054,A CHANGER
192,Voyageur0064,"5,0",Excellent ,-5057784293924418401,A CHANGER
